时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 10:1:12:636	HC-06(00:0C:BF:0B:72:49)	0.058	0.006	0.974	-17.944	2.625	12.939	2.41	5.67	-14.72	37.5	18258	10
2024-10-13 10:1:12:638	HC-06(00:0C:BF:0B:72:49)	0.100	0.017	0.985	-14.526	-3.479	17.883	2.28	5.62	-14.56	37.5	18258	10
2024-10-13 10:1:12:639	HC-06(00:0C:BF:0B:72:49)	0.141	0.033	1.014	-11.169	-8.911	24.414	2.19	5.50	-14.34	37.5	18258	10
2024-10-13 10:1:12:640	HC-06(00:0C:BF:0B:72:49)	0.166	0.051	1.040	-8.850	-10.193	30.762	2.14	5.36	-14.05	37.6	18258	10
2024-10-13 10:1:12:642	HC-06(00:0C:BF:0B:72:49)	0.151	0.066	1.046	-7.385	-6.958	35.278	2.10	5.23	-13.71	37.5	18258	10
2024-10-13 10:1:12:651	HC-06(00:0C:BF:0B:72:49)	0.124	0.078	1.032	-6.226	-0.671	36.438	2.08	5.16	-13.35	37.5	18258	10
2024-10-13 10:1:12:652	HC-06(00:0C:BF:0B:72:49)	0.103	0.077	0.996	-5.310	4.395	33.752	2.07	5.14	-13.00	37.6	18258	10
2024-10-13 10:1:12:670	HC-06(00:0C:BF:0B:72:49)	0.077	0.063	0.954	-2.258	8.728	28.564	2.07	5.16	-12.70	37.6	18258	10
2024-10-13 10:1:12:671	HC-06(00:0C:BF:0B:72:49)	0.050	0.045	0.922	1.770	10.437	23.132	2.11	5.20	-12.45	37.5	18258	10
2024-10-13 10:1:12:672	HC-06(00:0C:BF:0B:72:49)	0.030	0.027	0.900	6.531	9.277	19.165	2.19	5.25	-12.25	37.4	18258	10
2024-10-13 10:1:12:704	HC-06(00:0C:BF:0B:72:49)	0.019	0.013	0.890	11.719	6.348	17.273	2.32	5.26	-12.07	37.5	18258	10
2024-10-13 10:1:12:723	HC-06(00:0C:BF:0B:72:49)	0.022	0.008	0.895	15.991	2.197	17.578	2.49	5.23	-11.90	37.5	18258	10
2024-10-13 10:1:12:727	HC-06(00:0C:BF:0B:72:49)	0.033	0.009	0.915	19.531	-1.709	19.287	2.70	5.17	-11.71	37.6	18258	10
2024-10-13 10:1:12:729	HC-06(00:0C:BF:0B:72:49)	0.035	0.013	0.938	21.729	-4.150	21.118	2.93	5.08	-11.51	37.5	18258	10
2024-10-13 10:1:12:732	HC-06(00:0C:BF:0B:72:49)	0.028	0.021	0.957	22.156	-4.822	21.912	3.16	4.98	-11.29	37.6	18258	10
