时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:37:15:517	HC-06(556C659059FE)	0.016	0.009	0.998	0.732	-0.427	-18.250	0.45	-0.25	-5.19	33.5	18258	30
2024-10-9 17:37:15:545	HC-06(556C659059FE)	-0.004	0.010	0.994	-0.427	0.061	-17.395	0.45	-0.25	-5.37	33.6	18258	30
2024-10-9 17:37:15:545	HC-06(556C659059FE)	0.014	0.003	0.995	0.366	-0.305	-17.212	0.45	-0.25	-5.54	33.8	18258	30
2024-10-9 17:37:15:546	HC-06(556C659059FE)	0.021	0.008	1.004	-0.061	-0.122	-17.395	0.46	-0.25	-5.71	33.6	18258	30
2024-10-9 17:37:15:574	HC-06(556C659059FE)	-0.014	0.009	1.000	0.610	-0.305	-15.991	0.46	-0.25	-5.87	33.8	18258	30
2024-10-9 17:37:15:602	HC-06(556C659059FE)	0.030	-0.003	0.989	-0.610	0.000	-16.602	0.46	-0.25	-6.04	33.6	18258	30
2024-10-9 17:37:15:602	HC-06(556C659059FE)	-0.010	0.013	1.007	1.282	-0.549	-16.296	0.46	-0.25	-6.20	33.6	18258	30
2024-10-9 17:37:15:606	HC-06(556C659059FE)	-0.007	0.002	0.999	-1.221	0.061	-15.930	0.46	-0.25	-6.36	33.7	18258	30
2024-10-9 17:37:15:606	HC-06(556C659059FE)	-0.021	0.007	1.005	1.282	-0.366	-16.235	0.46	-0.25	-6.53	33.7	18258	30
2024-10-9 17:37:15:607	HC-06(556C659059FE)	0.015	0.000	0.986	-1.160	0.122	-17.944	0.46	-0.25	-6.70	33.6	18258	30
2024-10-9 17:37:15:635	HC-06(556C659059FE)	-0.020	0.017	1.013	1.709	-0.427	-18.127	0.47	-0.25	-6.88	33.7	18258	30
2024-10-9 17:37:15:635	HC-06(556C659059FE)	0.005	-0.001	0.990	-1.770	0.183	-18.494	0.46	-0.25	-7.06	33.6	18258	30
2024-10-9 17:37:15:636	HC-06(556C659059FE)	0.044	0.012	1.004	1.526	-0.488	-19.287	0.47	-0.25	-7.26	33.7	18258	30
2024-10-9 17:37:15:664	HC-06(556C659059FE)	0.022	0.001	0.989	-0.488	0.000	-17.883	0.47	-0.24	-7.44	33.6	18258	30
2024-10-9 17:37:15:666	HC-06(556C659059FE)	-0.016	0.016	1.006	0.488	-0.061	-15.503	0.47	-0.24	-7.60	33.8	18258	30
2024-10-9 17:37:15:666	HC-06(556C659059FE)	-0.006	0.000	0.994	-0.549	0.061	-15.869	0.47	-0.24	-7.76	33.6	18258	30
2024-10-9 17:37:15:694	HC-06(556C659059FE)	0.006	0.008	0.998	0.244	-0.244	-16.785	0.47	-0.24	-7.92	33.6	18258	30
2024-10-9 17:37:15:694	HC-06(556C659059FE)	0.027	0.000	0.989	-0.061	-0.183	-17.517	0.47	-0.24	-8.10	33.6	18258	30
2024-10-9 17:37:15:701	HC-06(556C659059FE)	-0.005	0.013	1.008	0.488	-0.244	-16.357	0.48	-0.24	-8.26	33.6	18258	30
2024-10-9 17:37:15:725	HC-06(556C659059FE)	-0.024	0.007	1.002	-0.916	0.000	-16.174	0.47	-0.24	-8.42	33.6	18258	30
2024-10-9 17:37:15:725	HC-06(556C659059FE)	-0.021	0.007	1.000	0.305	-0.183	-17.334	0.47	-0.24	-8.59	33.7	18258	30
2024-10-9 17:37:15:755	HC-06(556C659059FE)	0.029	-0.003	0.989	-0.244	-0.122	-19.409	0.47	-0.24	-8.78	33.6	18258	30
2024-10-9 17:37:15:757	HC-06(556C659059FE)	-0.002	0.013	1.003	0.916	-0.305	-19.043	0.48	-0.24	-8.98	33.8	18258	30
2024-10-9 17:37:15:757	HC-06(556C659059FE)	-0.007	0.008	1.000	-0.671	-0.061	-18.250	0.48	-0.24	-9.16	33.7	18258	30
2024-10-9 17:37:15:758	HC-06(556C659059FE)	0.005	0.004	1.003	0.854	-0.366	-18.494	0.48	-0.24	-9.34	33.8	18258	30
2024-10-9 17:37:15:784	HC-06(556C659059FE)	0.021	0.007	0.990	-0.610	-0.061	-18.921	0.48	-0.24	-9.53	33.8	18258	30
2024-10-9 17:37:15:785	HC-06(556C659059FE)	-0.020	0.013	1.005	1.099	-0.366	-18.127	0.48	-0.24	-9.72	33.7	18258	30
2024-10-9 17:37:15:786	HC-06(556C659059FE)	-0.007	0.005	0.996	-1.038	0.061	-18.738	0.48	-0.23	-9.90	33.7	18258	30
2024-10-9 17:37:15:816	HC-06(556C659059FE)	0.009	0.009	1.001	1.282	-0.549	-19.653	0.49	-0.23	-10.10	33.7	18258	30
2024-10-9 17:37:15:817	HC-06(556C659059FE)	0.028	0.005	0.991	-0.854	0.000	-19.348	0.48	-0.23	-10.29	33.5	18258	30
2024-10-9 17:37:15:818	HC-06(556C659059FE)	0.006	0.011	1.002	1.099	-0.366	-18.066	0.49	-0.23	-10.48	33.7	18258	30
2024-10-9 17:37:15:845	HC-06(556C659059FE)	0.010	0.003	0.997	-0.916	0.000	-17.212	0.48	-0.23	-10.65	33.7	18258	30
2024-10-9 17:37:15:846	HC-06(556C659059FE)	0.005	0.011	1.003	0.671	-0.305	-16.724	0.49	-0.23	-10.82	33.8	18258	30
2024-10-9 17:37:15:847	HC-06(556C659059FE)	0.019	0.001	0.986	-0.610	0.000	-17.090	0.49	-0.23	-10.99	33.8	18258	30
2024-10-9 17:37:15:874	HC-06(556C659059FE)	-0.002	0.012	1.008	0.916	-0.305	-16.541	0.49	-0.23	-11.16	33.7	18258	30
2024-10-9 17:37:15:875	HC-06(556C659059FE)	0.000	0.007	0.995	-0.793	0.000	-16.357	0.49	-0.23	-11.32	33.7	18258	30
2024-10-9 17:37:15:877	HC-06(556C659059FE)	0.012	0.004	1.001	0.793	-0.244	-16.479	0.49	-0.23	-11.48	33.7	18258	30
2024-10-9 17:37:15:905	HC-06(556C659059FE)	0.014	0.002	0.993	-0.427	-0.183	-16.724	0.49	-0.23	-11.65	33.7	18258	30
2024-10-9 17:37:15:906	HC-06(556C659059FE)	-0.021	0.016	1.009	0.427	-0.122	-15.564	0.50	-0.23	-11.81	33.7	18258	30
2024-10-9 17:37:15:906	HC-06(556C659059FE)	0.013	0.000	0.992	-0.549	-0.061	-16.724	0.49	-0.23	-11.98	33.7	18258	30
2024-10-9 17:37:15:934	HC-06(556C659059FE)	0.005	0.013	1.006	0.854	-0.305	-16.724	0.50	-0.23	-12.14	33.7	18258	30
2024-10-9 17:37:15:935	HC-06(556C659059FE)	-0.003	0.002	0.986	-0.732	-0.244	-16.724	0.49	-0.23	-12.31	33.7	18258	30
2024-10-9 17:37:15:936	HC-06(556C659059FE)	-0.014	0.013	1.006	0.549	-0.183	-16.602	0.50	-0.23	-12.47	33.6	18258	30
2024-10-9 17:37:15:963	HC-06(556C659059FE)	0.008	-0.005	0.988	-0.488	0.000	-18.188	0.49	-0.23	-12.65	33.6	18258	30
2024-10-9 17:37:15:965	HC-06(556C659059FE)	-0.004	0.015	1.005	0.916	-0.122	-18.433	0.51	-0.23	-12.84	33.6	18258	30
2024-10-9 17:37:15:966	HC-06(556C659059FE)	-0.026	0.008	1.000	-1.282	0.122	-18.677	0.50	-0.23	-13.02	33.8	18258	30
2024-10-9 17:37:15:992	HC-06(556C659059FE)	-0.000	-0.008	0.988	0.305	-0.366	-20.935	0.50	-0.23	-13.22	33.8	18258	30
2024-10-9 17:37:15:999	HC-06(556C659059FE)	0.061	0.008	0.997	-0.061	-0.305	-22.766	0.51	-0.22	-13.45	33.6	18258	30
2024-10-9 17:37:16:0	HC-06(556C659059FE)	0.029	0.008	1.002	1.282	-0.427	-20.752	0.51	-0.23	-13.66	33.8	18258	30
2024-10-9 17:37:16:23	HC-06(556C659059FE)	-0.010	0.020	1.001	-0.977	0.061	-17.578	0.51	-0.22	-13.85	33.6	18258	30
2024-10-9 17:37:16:25	HC-06(556C659059FE)	-0.017	0.002	0.992	0.671	-0.061	-17.212	0.51	-0.22	-14.02	33.6	18258	30
2024-10-9 17:37:16:54	HC-06(556C659059FE)	0.017	0.004	1.000	-0.732	0.000	-18.616	0.51	-0.22	-14.20	33.7	18258	30
2024-10-9 17:37:16:55	HC-06(556C659059FE)	0.005	0.010	1.001	1.221	-0.366	-18.616	0.52	-0.22	-14.39	33.6	18258	30
2024-10-9 17:37:16:56	HC-06(556C659059FE)	0.005	0.008	0.994	-0.854	-0.061	-17.944	0.51	-0.22	-14.57	33.6	18258	30
2024-10-9 17:37:16:58	HC-06(556C659059FE)	-0.001	0.009	1.005	0.916	-0.244	-17.700	0.52	-0.22	-14.74	33.7	18258	30
2024-10-9 17:37:16:84	HC-06(556C659059FE)	0.017	0.003	0.999	-0.671	0.000	-17.517	0.51	-0.22	-14.92	33.7	18258	30
2024-10-9 17:37:16:86	HC-06(556C659059FE)	-0.005	0.012	1.004	0.549	-0.183	-16.724	0.52	-0.22	-15.09	33.7	18258	30
2024-10-9 17:37:16:86	HC-06(556C659059FE)	-0.001	0.005	0.991	-0.610	-0.122	-16.785	0.52	-0.21	-15.26	33.6	18258	30
2024-10-9 17:37:16:113	HC-06(556C659059FE)	0.010	0.009	1.000	0.916	-0.305	-17.151	0.52	-0.21	-15.43	33.7	18258	30
2024-10-9 17:37:16:115	HC-06(556C659059FE)	0.016	0.000	0.995	-0.549	-0.061	-17.273	0.52	-0.21	-15.60	33.7	18258	30
2024-10-9 17:37:16:115	HC-06(556C659059FE)	-0.027	0.015	1.008	0.671	-0.183	-16.357	0.52	-0.21	-15.77	33.7	18258	30
2024-10-9 17:37:16:143	HC-06(556C659059FE)	-0.004	0.004	0.993	-1.038	0.000	-17.151	0.52	-0.21	-15.94	33.6	18258	30
2024-10-9 17:37:16:144	HC-06(556C659059FE)	0.016	0.009	0.996	0.977	-0.366	-19.287	0.52	-0.21	-16.13	33.7	18258	30
2024-10-9 17:37:16:146	HC-06(556C659059FE)	0.032	0.004	0.996	-0.244	-0.183	-19.226	0.52	-0.21	-16.32	33.7	18258	30
2024-10-9 17:37:16:174	HC-06(556C659059FE)	0.007	0.010	1.004	0.793	-0.244	-17.700	0.53	-0.21	-16.50	33.7	18258	30
2024-10-9 17:37:16:174	HC-06(556C659059FE)	0.007	0.006	0.994	-0.732	-0.061	-16.418	0.52	-0.21	-16.67	33.6	18258	30
2024-10-9 17:37:16:175	HC-06(556C659059FE)	-0.000	0.010	1.001	0.977	-0.244	-16.479	0.53	-0.21	-16.83	33.7	18258	30
2024-10-9 17:37:16:204	HC-06(556C659059FE)	0.003	0.002	0.991	-0.549	-0.122	-16.602	0.53	-0.21	-17.00	33.6	18258	30
2024-10-9 17:37:16:205	HC-06(556C659059FE)	-0.007	0.010	1.005	0.732	-0.244	-16.602	0.53	-0.21	-17.17	33.6	18258	30
2024-10-9 17:37:16:206	HC-06(556C659059FE)	0.026	0.004	0.993	-0.427	-0.183	-17.151	0.53	-0.21	-17.33	33.8	18258	30
2024-10-9 17:37:16:234	HC-06(556C659059FE)	-0.015	0.023	1.004	1.038	-0.244	-16.479	0.53	-0.21	-17.50	33.7	18258	30
2024-10-9 17:37:16:264	HC-06(556C659059FE)	-0.037	0.003	0.996	-1.404	0.122	-16.174	0.53	-0.21	-17.66	33.6	18258	30
2024-10-9 17:37:16:265	HC-06(556C659059FE)	0.001	0.004	1.001	0.732	-0.244	-18.005	0.53	-0.21	-17.84	33.7	18258	30
2024-10-9 17:37:16:266	HC-06(556C659059FE)	0.036	0.002	0.989	-0.244	-0.305	-19.958	0.53	-0.21	-18.03	33.5	18258	30
2024-10-9 17:37:16:266	HC-06(556C659059FE)	-0.002	0.015	1.006	0.732	-0.183	-18.066	0.54	-0.21	-18.22	33.8	18258	30
2024-10-9 17:37:16:267	HC-06(556C659059FE)	-0.018	0.009	0.998	-1.099	0.000	-17.517	0.53	-0.21	-18.40	33.7	18258	30
2024-10-9 17:37:16:298	HC-06(556C659059FE)	0.014	0.004	0.996	0.854	-0.305	-18.433	0.53	-0.21	-18.58	33.6	18258	30
2024-10-9 17:37:16:298	HC-06(556C659059FE)	0.008	0.012	1.002	-0.366	-0.122	-18.555	0.53	-0.21	-18.76	33.6	18258	30
2024-10-9 17:37:16:298	HC-06(556C659059FE)	-0.021	0.005	0.992	0.305	-0.183	-18.250	0.54	-0.20	-18.95	33.8	18258	30
2024-10-9 17:37:16:323	HC-06(556C659059FE)	0.011	0.006	0.995	-0.488	-0.061	-19.104	0.53	-0.20	-19.13	33.7	18258	30
2024-10-9 17:37:16:324	HC-06(556C659059FE)	0.018	0.009	1.003	1.160	-0.366	-19.470	0.54	-0.20	-19.33	33.7	18258	30
2024-10-9 17:37:16:352	HC-06(556C659059FE)	0.032	0.004	0.993	-1.038	-0.244	-18.738	0.54	-0.20	-19.52	33.7	18258	30
2024-10-9 17:37:16:353	HC-06(556C659059FE)	0.009	0.017	1.005	1.526	-0.366	-17.029	0.54	-0.20	-19.69	33.6	18258	30
