时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2023-11-3 14:16:35:501	WT901BLE67(34EC198DD516)	0.006	0.002	1.005	0.366	0.000	18.250	-0.05	-0.41	42.17	-12.550	14.292	-1.825	-0.92328	-0.00082	0.00339	-0.38397	28.9	10055.1.2	60
2023-11-3 14:16:35:501	WT901BLE67(34EC198DD516)	0.006	0.002	1.005	0.366	0.000	18.250	-0.05	-0.41	42.01	-12.550	14.292	-1.825	-0.92328	-0.00082	0.00339	-0.38397	28.9	10055.1.2	60
2023-11-3 14:16:35:501	WT901BLE67(34EC198DD516)	-0.000	0.002	1.005	0.366	0.000	18.250	-0.05	-0.41	41.86	-12.550	14.292	-1.825	-0.92328	-0.00082	0.00339	-0.38397	28.9	10055.1.2	60
2023-11-3 14:16:35:501	WT901BLE67(34EC198DD516)	-0.000	0.004	1.004	0.061	0.000	17.334	-0.05	-0.41	41.70	-12.550	14.292	-1.825	-0.92328	-0.00082	0.00339	-0.38397	28.9	10055.1.2	60
2023-11-3 14:16:35:501	WT901BLE67(34EC198DD516)	-0.000	0.004	1.004	0.061	0.000	17.334	-0.05	-0.41	41.54	-12.550	14.292	-1.825	-0.92328	-0.00082	0.00339	-0.38397	28.9	10055.1.2	60
2023-11-3 14:16:35:501	WT901BLE67(34EC198DD516)	-0.000	0.004	1.004	0.061	0.000	17.334	-0.05	-0.41	41.39	-12.550	14.292	-1.825	-0.92328	-0.00082	0.00339	-0.38397	28.9	10055.1.2	60
2023-11-3 14:16:35:501	WT901BLE67(34EC198DD516)	0.004	0.004	1.004	0.061	0.000	17.334	-0.05	-0.41	41.23	-12.550	14.292	-1.825	-0.92328	-0.00082	0.00339	-0.38397	28.9	10055.1.2	60
2023-11-3 14:16:35:501	WT901BLE67(34EC198DD516)	0.004	0.003	1.002	-0.427	-0.183	15.503	-0.06	-0.41	41.07	-12.550	14.292	-1.825	-0.92328	-0.00082	0.00339	-0.38397	28.9	10055.1.2	60
2023-11-3 14:16:35:534	WT901BLE67(34EC198DD516)	0.004	0.003	1.002	-0.427	-0.183	15.503	-0.06	-0.41	40.90	-16.758	15.158	-1.500	-0.92328	-0.00082	0.00339	-0.38397	28.9	10055.1.2	60
2023-11-3 14:16:35:534	WT901BLE67(34EC198DD516)	0.004	0.003	1.002	-0.427	-0.183	15.503	-0.07	-0.41	40.74	-16.758	15.158	-1.500	-0.92328	-0.00082	0.00339	-0.38397	28.9	10055.1.2	60
