时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:50:50:985	HC-06(00:0C:BF:0B:72:49)	0.132	-0.439	1.189	-4.272	2.075	-12.756	-24.83	-8.57	82.40	35.8	18258	0
2024-10-13 9:50:50:989	HC-06(00:0C:BF:0B:72:49)	0.126	-0.427	1.197	-5.920	4.456	-14.526	-24.86	-8.58	82.26	35.7	18258	0
2024-10-13 9:50:51:8	HC-06(00:0C:BF:0B:72:49)	0.125	-0.421	1.200	-6.714	6.042	-15.259	-24.88	-8.57	82.10	35.7	18258	0
2024-10-13 9:50:51:10	HC-06(00:0C:BF:0B:72:49)	0.122	-0.418	1.200	-5.676	6.287	-15.442	-24.91	-8.57	81.93	35.8	18258	0
2024-10-13 9:50:51:28	HC-06(00:0C:BF:0B:72:49)	0.123	-0.418	1.195	-2.808	5.249	-15.808	-24.90	-8.56	81.75	35.8	18258	0
2024-10-13 9:50:51:35	HC-06(00:0C:BF:0B:72:49)	0.140	-0.425	1.185	0.977	2.625	-16.479	-24.86	-8.59	81.59	35.9	18258	0
2024-10-13 9:50:51:46	HC-06(00:0C:BF:0B:72:49)	0.167	-0.427	1.166	5.493	-0.427	-17.700	-24.77	-8.64	81.43	35.6	18258	0
2024-10-13 9:50:51:67	HC-06(00:0C:BF:0B:72:49)	0.185	-0.426	1.142	10.132	-2.136	-19.470	-24.64	-8.72	81.26	35.8	18258	0
2024-10-13 9:50:51:69	HC-06(00:0C:BF:0B:72:49)	0.195	-0.429	1.121	14.343	-1.953	-21.912	-24.46	-8.81	81.07	35.8	18258	0
2024-10-13 9:50:51:70	HC-06(00:0C:BF:0B:72:49)	0.200	-0.434	1.104	17.944	-0.427	-24.658	-24.23	-8.90	80.85	35.8	18258	0
2024-10-13 9:50:51:91	HC-06(00:0C:BF:0B:72:49)	0.190	-0.438	1.093	20.508	2.319	-26.733	-23.98	-8.99	80.61	35.7	18258	0
2024-10-13 9:50:51:97	HC-06(00:0C:BF:0B:72:49)	0.171	-0.436	1.092	21.667	5.005	-27.466	-23.71	-9.04	80.33	35.7	18258	0
2024-10-13 9:50:51:106	HC-06(00:0C:BF:0B:72:49)	0.163	-0.426	1.101	21.240	5.371	-27.222	-23.43	-9.09	80.06	35.7	18258	0
2024-10-13 9:50:51:110	HC-06(00:0C:BF:0B:72:49)	0.163	-0.416	1.110	18.616	3.174	-26.123	-23.19	-9.15	79.79	35.6	18258	0
2024-10-13 9:50:51:125	HC-06(00:0C:BF:0B:72:49)	0.172	-0.417	1.116	14.893	-0.610	-24.536	-22.98	-9.23	79.56	35.7	18258	0
2024-10-13 9:50:51:128	HC-06(00:0C:BF:0B:72:49)	0.190	-0.433	1.118	11.047	-3.784	-23.010	-22.82	-9.34	79.35	35.7	18258	0
2024-10-13 9:50:51:146	HC-06(00:0C:BF:0B:72:49)	0.213	-0.452	1.119	8.057	-4.883	-21.790	-22.69	-9.45	79.16	35.7	18258	0
2024-10-13 9:50:51:152	HC-06(00:0C:BF:0B:72:49)	0.225	-0.467	1.120	6.165	-3.845	-20.630	-22.59	-9.56	78.99	35.7	18258	0
2024-10-13 9:50:51:174	HC-06(00:0C:BF:0B:72:49)	0.229	-0.477	1.130	5.249	-0.793	-19.043	-22.50	-9.64	78.80	35.8	18258	0
2024-10-13 9:50:51:178	HC-06(00:0C:BF:0B:72:49)	0.240	-0.484	1.137	4.700	2.197	-16.968	-22.42	-9.69	78.63	35.7	18258	0
2024-10-13 9:50:51:188	HC-06(00:0C:BF:0B:72:49)	0.249	-0.493	1.145	4.883	5.554	-13.977	-22.34	-9.69	78.48	35.7	18258	0
2024-10-13 9:50:51:195	HC-06(00:0C:BF:0B:72:49)	0.251	-0.503	1.153	5.615	9.644	-10.254	-22.26	-9.65	78.34	35.7	18258	0
2024-10-13 9:50:51:206	HC-06(00:0C:BF:0B:72:49)	0.236	-0.517	1.170	6.287	14.954	-6.287	-22.18	-9.55	78.22	35.7	18258	0
2024-10-13 9:50:51:208	HC-06(00:0C:BF:0B:72:49)	0.207	-0.534	1.198	6.042	20.447	-2.319	-22.10	-9.38	78.12	35.7	18258	0
2024-10-13 9:50:51:228	HC-06(00:0C:BF:0B:72:49)	0.185	-0.555	1.229	4.700	24.414	0.854	-22.04	-9.16	78.02	35.7	18258	0
2024-10-13 9:50:51:234	HC-06(00:0C:BF:0B:72:49)	0.165	-0.575	1.256	2.625	25.879	3.296	-22.00	-8.92	77.95	35.9	18258	0
2024-10-13 9:50:51:245	HC-06(00:0C:BF:0B:72:49)	0.151	-0.591	1.272	0.916	24.536	4.089	-21.98	-8.67	77.89	35.7	18258	0
2024-10-13 9:50:51:250	HC-06(00:0C:BF:0B:72:49)	0.145	-0.603	1.281	0.488	19.958	2.747	-21.98	-8.46	77.84	35.7	18258	0
2024-10-13 9:50:51:265	HC-06(00:0C:BF:0B:72:49)	0.140	-0.607	1.277	1.892	13.489	-0.732	-21.97	-8.32	77.79	35.8	18258	0
2024-10-13 9:50:51:278	HC-06(00:0C:BF:0B:72:49)	0.156	-0.595	1.271	3.479	6.714	-6.165	-21.93	-8.26	77.71	35.8	18258	0
2024-10-13 9:50:51:285	HC-06(00:0C:BF:0B:72:49)	0.173	-0.572	1.266	3.174	0.610	-12.512	-21.90	-8.28	77.60	35.8	18258	0
2024-10-13 9:50:51:290	HC-06(00:0C:BF:0B:72:49)	0.184	-0.550	1.251	1.160	-2.319	-16.907	-21.87	-8.35	77.46	35.9	18258	0
2024-10-13 9:50:51:305	HC-06(00:0C:BF:0B:72:49)	0.197	-0.528	1.232	-1.038	-3.967	-18.921	-21.86	-8.45	77.30	35.8	18258	0
2024-10-13 9:50:51:309	HC-06(00:0C:BF:0B:72:49)	0.218	-0.504	1.209	-2.625	-5.432	-18.250	-21.87	-8.56	77.14	35.8	18258	0
2024-10-13 9:50:51:311	HC-06(00:0C:BF:0B:72:49)	0.241	-0.485	1.186	-3.174	-6.714	-15.625	-21.89	-8.67	77.01	35.7	18258	0
2024-10-13 9:50:51:327	HC-06(00:0C:BF:0B:72:49)	0.265	-0.470	1.160	-2.869	-6.958	-12.146	-21.92	-8.78	76.92	35.7	18258	0
2024-10-13 9:50:51:346	HC-06(00:0C:BF:0B:72:49)	0.280	-0.463	1.131	-1.892	-5.981	-8.423	-21.93	-8.87	76.85	35.7	18258	0
2024-10-13 9:50:51:348	HC-06(00:0C:BF:0B:72:49)	0.293	-0.461	1.110	-0.671	-4.517	-5.554	-21.95	-8.94	76.81	35.8	18258	0
2024-10-13 9:50:51:365	HC-06(00:0C:BF:0B:72:49)	0.306	-0.460	1.093	0.244	-2.625	-4.211	-21.95	-8.99	76.78	35.9	18258	0
2024-10-13 9:50:51:368	HC-06(00:0C:BF:0B:72:49)	0.304	-0.452	1.079	1.160	-0.488	-4.517	-21.94	-9.02	76.74	35.8	18258	0
2024-10-13 9:50:51:386	HC-06(00:0C:BF:0B:72:49)	0.298	-0.442	1.071	1.526	1.038	-6.104	-21.92	-9.04	76.68	35.7	18258	0
2024-10-13 9:50:51:388	HC-06(00:0C:BF:0B:72:49)	0.292	-0.436	1.071	1.038	1.892	-8.545	-21.91	-9.06	76.60	35.7	18258	0
2024-10-13 9:50:51:405	HC-06(00:0C:BF:0B:72:49)	0.273	-0.430	1.080	-0.366	2.563	-11.047	-21.90	-9.09	76.50	35.6	18258	0
2024-10-13 9:50:51:406	HC-06(00:0C:BF:0B:72:49)	0.256	-0.429	1.089	-2.747	2.563	-12.573	-21.90	-9.12	76.37	35.9	18258	0
2024-10-13 9:50:51:424	HC-06(00:0C:BF:0B:72:49)	0.245	-0.428	1.102	-5.798	1.648	-13.123	-21.93	-9.17	76.24	35.7	18258	0
2024-10-13 9:50:51:427	HC-06(00:0C:BF:0B:72:49)	0.237	-0.434	1.113	-8.789	0.244	-12.024	-22.00	-9.22	76.12	35.7	18258	0
2024-10-13 9:50:51:428	HC-06(00:0C:BF:0B:72:49)	0.228	-0.447	1.123	-11.108	-0.793	-9.949	-22.09	-9.28	76.03	35.8	18258	0
2024-10-13 9:50:51:447	HC-06(00:0C:BF:0B:72:49)	0.224	-0.460	1.132	-12.268	-2.197	-7.568	-22.20	-9.34	75.95	35.7	18258	0
2024-10-13 9:50:51:465	HC-06(00:0C:BF:0B:72:49)	0.223	-0.473	1.141	-12.512	-3.967	-5.676	-22.32	-9.40	75.91	35.8	18258	0
2024-10-13 9:50:51:484	HC-06(00:0C:BF:0B:72:49)	0.223	-0.486	1.141	-11.780	-5.615	-5.066	-22.44	-9.49	75.88	35.8	18258	0
2024-10-13 9:50:51:486	HC-06(00:0C:BF:0B:72:49)	0.226	-0.497	1.139	-10.132	-6.775	-5.981	-22.54	-9.57	75.85	35.8	18258	0
2024-10-13 9:50:51:488	HC-06(00:0C:BF:0B:72:49)	0.228	-0.498	1.134	-8.057	-7.141	-7.996	-22.62	-9.68	75.81	35.7	18258	0
2024-10-13 9:50:51:489	HC-06(00:0C:BF:0B:72:49)	0.232	-0.492	1.125	-5.859	-6.775	-10.559	-22.67	-9.78	75.75	35.8	18258	0
2024-10-13 9:50:51:507	HC-06(00:0C:BF:0B:72:49)	0.230	-0.485	1.120	-3.784	-5.676	-12.695	-22.70	-9.89	75.65	35.8	18258	0
2024-10-13 9:50:51:509	HC-06(00:0C:BF:0B:72:49)	0.229	-0.472	1.118	-2.319	-3.906	-13.733	-22.71	-9.99	75.54	35.6	18258	0
2024-10-13 9:50:51:527	HC-06(00:0C:BF:0B:72:49)	0.226	-0.458	1.116	-2.075	-2.136	-13.611	-22.71	-10.07	75.42	35.6	18258	0
2024-10-13 9:50:51:533	HC-06(00:0C:BF:0B:72:49)	0.214	-0.448	1.123	-2.563	-0.488	-12.634	-22.71	-10.13	75.31	35.8	18258	0
2024-10-13 9:50:51:544	HC-06(00:0C:BF:0B:72:49)	0.207	-0.441	1.131	-3.967	0.000	-10.925	-22.73	-10.18	75.20	35.7	18258	0
2024-10-13 9:50:51:547	HC-06(00:0C:BF:0B:72:49)	0.198	-0.439	1.139	-5.493	-0.488	-8.606	-22.76	-10.22	75.11	35.8	18258	0
2024-10-13 9:50:51:580	HC-06(00:0C:BF:0B:72:49)	0.198	-0.445	1.144	-6.470	-2.197	-6.836	-22.81	-10.27	75.05	35.7	18258	0
2024-10-13 9:50:51:581	HC-06(00:0C:BF:0B:72:49)	0.204	-0.453	1.146	-6.531	-3.845	-6.042	-22.86	-10.33	75.00	35.8	18258	0
2024-10-13 9:50:51:584	HC-06(00:0C:BF:0B:72:49)	0.214	-0.458	1.141	-5.493	-5.127	-6.836	-22.91	-10.40	74.97	35.8	18258	0
2024-10-13 9:50:51:587	HC-06(00:0C:BF:0B:72:49)	0.216	-0.458	1.133	-3.662	-5.310	-8.850	-22.94	-10.48	74.90	35.8	18258	0
2024-10-13 9:50:51:605	HC-06(00:0C:BF:0B:72:49)	0.213	-0.450	1.128	-1.709	-4.272	-11.108	-22.94	-10.56	74.82	35.8	18258	0
2024-10-13 9:50:51:610	HC-06(00:0C:BF:0B:72:49)	0.213	-0.438	1.125	-0.732	-3.174	-12.634	-22.92	-10.63	74.72	35.9	18258	0
2024-10-13 9:50:51:628	HC-06(00:0C:BF:0B:72:49)	0.209	-0.424	1.125	-0.916	-2.319	-12.756	-22.91	-10.71	74.61	35.8	18258	0
2024-10-13 9:50:51:631	HC-06(00:0C:BF:0B:72:49)	0.213	-0.408	1.128	-2.258	-2.563	-11.230	-22.90	-10.77	74.51	35.9	18258	0
2024-10-13 9:50:51:647	HC-06(00:0C:BF:0B:72:49)	0.218	-0.401	1.136	-4.944	-3.235	-8.240	-22.92	-10.83	74.44	35.8	18258	0
2024-10-13 9:50:51:653	HC-06(00:0C:BF:0B:72:49)	0.223	-0.409	1.138	-7.751	-3.235	-5.066	-22.98	-10.88	74.39	35.6	18258	0
2024-10-13 9:50:51:665	HC-06(00:0C:BF:0B:72:49)	0.225	-0.421	1.146	-9.277	-2.136	-2.319	-23.05	-10.91	74.38	35.8	18258	0
2024-10-13 9:50:51:690	HC-06(00:0C:BF:0B:72:49)	0.228	-0.436	1.156	-9.583	-0.732	-0.427	-23.14	-10.92	74.37	35.7	18258	0
2024-10-13 9:50:51:697	HC-06(00:0C:BF:0B:72:49)	0.227	-0.450	1.163	-8.301	0.366	0.305	-23.21	-10.91	74.37	35.8	18258	0
2024-10-13 9:50:51:703	HC-06(00:0C:BF:0B:72:49)	0.229	-0.458	1.170	-5.859	1.038	0.488	-23.26	-10.90	74.37	35.7	18258	0
2024-10-13 9:50:51:707	HC-06(00:0C:BF:0B:72:49)	0.228	-0.462	1.180	-3.418	1.587	0.427	-23.29	-10.88	74.37	35.7	18258	0
2024-10-13 9:50:51:709	HC-06(00:0C:BF:0B:72:49)	0.225	-0.469	1.189	-1.160	1.770	0.305	-23.30	-10.86	74.37	35.7	18258	0
2024-10-13 9:50:51:726	HC-06(00:0C:BF:0B:72:49)	0.216	-0.475	1.200	0.488	1.648	0.122	-23.28	-10.84	74.36	35.7	18258	0
2024-10-13 9:50:51:731	HC-06(00:0C:BF:0B:72:49)	0.202	-0.477	1.212	1.465	1.099	0.000	-23.25	-10.82	74.36	35.8	18258	0
2024-10-13 9:50:51:745	HC-06(00:0C:BF:0B:72:49)	0.196	-0.479	1.229	2.563	-0.793	0.122	-23.22	-10.82	74.36	35.7	18258	0
2024-10-13 9:50:51:749	HC-06(00:0C:BF:0B:72:49)	0.204	-0.480	1.241	3.723	-3.906	0.854	-23.18	-10.84	74.38	35.7	18258	0
2024-10-13 9:50:51:773	HC-06(00:0C:BF:0B:72:49)	0.212	-0.478	1.249	4.700	-7.324	2.319	-23.13	-10.89	74.42	35.9	18258	0
2024-10-13 9:50:51:774	HC-06(00:0C:BF:0B:72:49)	0.232	-0.480	1.262	5.371	-9.827	3.784	-23.08	-10.95	74.49	35.8	18258	0
2024-10-13 9:50:51:787	HC-06(00:0C:BF:0B:72:49)	0.250	-0.481	1.272	5.737	-10.925	5.005	-23.03	-11.02	74.58	35.8	18258	0
2024-10-13 9:50:51:791	HC-06(00:0C:BF:0B:72:49)	0.259	-0.487	1.284	6.470	-10.315	5.981	-22.97	-11.09	74.67	35.9	18258	0
2024-10-13 9:50:51:805	HC-06(00:0C:BF:0B:72:49)	0.259	-0.499	1.298	8.545	-7.751	6.653	-22.90	-11.13	74.76	35.6	18258	0
2024-10-13 9:50:51:810	HC-06(00:0C:BF:0B:72:49)	0.261	-0.508	1.324	12.146	-4.211	8.362	-22.80	-11.14	74.86	35.8	18258	0
2024-10-13 9:50:51:828	HC-06(00:0C:BF:0B:72:49)	0.264	-0.521	1.352	16.968	1.099	12.085	-22.65	-11.10	74.96	35.8	18258	0
2024-10-13 9:50:51:831	HC-06(00:0C:BF:0B:72:49)	0.258	-0.531	1.375	23.071	8.179	18.127	-22.45	-10.96	75.09	35.8	18258	0
2024-10-13 9:50:51:847	HC-06(00:0C:BF:0B:72:49)	0.234	-0.530	1.392	29.236	15.503	24.109	-22.20	-10.75	75.25	35.7	18258	0
2024-10-13 9:50:51:850	HC-06(00:0C:BF:0B:72:49)	0.209	-0.509	1.408	32.837	19.775	26.550	-21.90	-10.47	75.43	35.8	18258	0
2024-10-13 9:50:51:866	HC-06(00:0C:BF:0B:72:49)	0.183	-0.479	1.417	31.982	19.836	23.926	-21.60	-10.19	75.59	35.7	18258	0
2024-10-13 9:50:51:870	HC-06(00:0C:BF:0B:72:49)	0.164	-0.461	1.414	26.733	15.259	18.250	-21.34	-9.95	75.71	35.7	18258	0
2024-10-13 9:50:51:889	HC-06(00:0C:BF:0B:72:49)	0.170	-0.456	1.399	18.555	7.080	10.986	-21.14	-9.82	75.79	35.7	18258	0
2024-10-13 9:50:51:892	HC-06(00:0C:BF:0B:72:49)	0.180	-0.446	1.378	8.606	-1.831	3.601	-21.03	-9.79	75.84	35.7	18258	0
2024-10-13 9:50:51:908	HC-06(00:0C:BF:0B:72:49)	0.174	-0.450	1.353	-1.770	-7.141	-3.174	-21.02	-9.85	75.86	35.7	18258	0
2024-10-13 9:50:51:910	HC-06(00:0C:BF:0B:72:49)	0.177	-0.469	1.328	-11.536	-8.667	-8.484	-21.09	-9.94	75.82	35.8	18258	0
2024-10-13 9:50:51:924	HC-06(00:0C:BF:0B:72:49)	0.181	-0.490	1.316	-19.775	-6.165	-9.766	-21.25	-10.04	75.75	35.7	18258	0
2024-10-13 9:50:51:927	HC-06(00:0C:BF:0B:72:49)	0.179	-0.506	1.314	-26.245	0.732	-6.042	-21.48	-10.06	75.68	35.9	18258	0
2024-10-13 9:50:51:946	HC-06(00:0C:BF:0B:72:49)	0.175	-0.522	1.313	-30.334	9.521	2.014	-21.76	-9.99	75.65	35.7	18258	0
2024-10-13 9:50:51:953	HC-06(00:0C:BF:0B:72:49)	0.148	-0.546	1.314	-31.616	18.005	13.428	-22.07	-9.79	75.69	35.8	18258	0
2024-10-13 9:50:51:984	HC-06(00:0C:BF:0B:72:49)	0.124	-0.568	1.305	-30.334	23.071	25.024	-22.38	-9.49	75.81	35.7	18258	0
