时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 10:1:14:46	HC-06(556C659059FE)	-0.052	-0.097	1.066	0.244	-11.047	15.930	3.13	-6.54	115.53	28.6	18258	100
2024-10-13 10:1:14:47	HC-06(556C659059FE)	-0.041	-0.055	1.082	1.038	-9.216	16.174	3.09	-6.62	115.69	28.6	18258	100
2024-10-13 10:1:14:47	HC-06(556C659059FE)	-0.022	0.000	1.101	0.183	-5.188	15.137	3.04	-6.66	115.85	28.6	18258	100
2024-10-13 10:1:14:48	HC-06(556C659059FE)	0.001	0.050	1.101	-2.197	-0.549	11.597	2.99	-6.66	115.97	28.6	18258	100
2024-10-13 10:1:14:48	HC-06(556C659059FE)	0.018	0.086	1.083	-3.601	4.333	7.080	2.92	-6.60	116.06	28.6	18258	100
2024-10-13 10:1:14:103	HC-06(556C659059FE)	0.045	0.111	1.050	-5.859	8.423	1.099	2.85	-6.49	116.09	28.6	18258	100
2024-10-13 10:1:14:104	HC-06(556C659059FE)	0.065	0.115	1.008	-8.972	11.902	-5.676	2.75	-6.35	116.06	28.6	18258	100
2024-10-13 10:1:14:105	HC-06(556C659059FE)	0.071	0.104	0.971	-10.498	14.526	-11.414	2.65	-6.18	115.96	28.6	18258	100
2024-10-13 10:1:14:107	HC-06(556C659059FE)	0.069	0.072	0.931	-11.597	15.686	-16.785	2.54	-5.99	115.81	28.6	18258	100
2024-10-13 10:1:14:107	HC-06(556C659059FE)	0.059	0.027	0.888	-11.719	15.015	-20.386	2.44	-5.81	115.63	28.6	18258	100
2024-10-13 10:1:14:108	HC-06(556C659059FE)	0.046	-0.019	0.848	-10.986	13.123	-22.034	2.34	-5.64	115.41	28.5	18258	100
2024-10-13 10:1:14:130	HC-06(556C659059FE)	0.037	-0.063	0.816	-9.521	9.888	-22.339	2.26	-5.50	115.19	28.6	18258	100
2024-10-13 10:1:14:131	HC-06(556C659059FE)	0.036	-0.098	0.786	-6.042	4.272	-21.301	2.20	-5.42	114.98	28.5	18258	100
2024-10-13 10:1:14:132	HC-06(556C659059FE)	0.032	-0.119	0.775	-2.014	-1.099	-20.386	2.17	-5.39	114.77	28.4	18258	100
2024-10-13 10:1:14:139	HC-06(556C659059FE)	0.035	-0.124	0.787	1.160	-5.188	-19.348	2.18	-5.41	114.58	28.6	18258	100
2024-10-13 10:1:14:140	HC-06(556C659059FE)	0.040	-0.118	0.806	3.784	-8.728	-18.433	2.20	-5.46	114.39	28.4	18258	100
2024-10-13 10:1:14:140	HC-06(556C659059FE)	0.042	-0.108	0.822	6.104	-11.658	-17.761	2.25	-5.55	114.21	28.4	18258	100
2024-10-13 10:1:14:186	HC-06(556C659059FE)	0.033	-0.099	0.838	7.996	-13.245	-16.724	2.31	-5.65	114.03	28.6	18258	100
2024-10-13 10:1:14:187	HC-06(556C659059FE)	0.025	-0.098	0.837	9.766	-14.954	-16.418	2.39	-5.77	113.86	28.6	18258	100
2024-10-13 10:1:14:187	HC-06(556C659059FE)	0.034	-0.083	0.855	9.094	-15.869	-16.541	2.47	-5.90	113.69	28.5	18258	100
2024-10-13 10:1:14:231	HC-06(556C659059FE)	0.039	-0.077	0.871	6.531	-13.245	-16.296	2.52	-6.01	113.52	28.6	18258	100
