时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2023-11-3 14:17:22:616	WT901BLE67(34EC198DD516)	0.009	-0.004	0.999	0.000	-0.183	17.944	-0.52	-0.59	-9.36	-32.308	37.517	4.808	-0.99673	0.00494	0.00494	0.07974	29.1	10055.1.2	50
2023-11-3 14:17:22:616	WT901BLE67(34EC198DD516)	0.009	-0.004	0.999	0.000	-0.183	17.944	-0.52	-0.59	-9.37	-32.308	37.517	4.808	-0.99673	0.00494	0.00494	0.07974	29.1	10055.1.2	50
2023-11-3 14:17:22:617	WT901BLE67(34EC198DD516)	0.004	-0.004	0.999	0.000	-0.183	17.944	-0.52	-0.60	-9.37	-32.308	37.517	4.808	-0.99673	0.00494	0.00494	0.07974	29.1	10055.1.2	50
2023-11-3 14:17:22:617	WT901BLE67(34EC198DD516)	0.004	-0.001	1.000	-0.122	-0.122	17.883	-0.52	-0.60	-9.37	-32.308	37.517	4.808	-0.99673	0.00494	0.00494	0.07974	29.1	10055.1.2	50
2023-11-3 14:17:22:617	WT901BLE67(34EC198DD516)	0.004	-0.001	1.000	-0.122	-0.122	17.883	-0.52	-0.60	-9.38	-32.308	37.517	4.808	-0.99673	0.00494	0.00494	0.07974	29.1	10055.1.2	50
2023-11-3 14:17:22:617	WT901BLE67(34EC198DD516)	0.028	-0.001	1.000	-0.122	-0.122	17.883	-0.52	-0.60	-9.38	-32.308	37.517	4.808	-0.99673	0.00494	0.00494	0.07974	29.1	10055.1.2	50
2023-11-3 14:17:22:617	WT901BLE67(34EC198DD516)	0.028	-0.011	1.000	0.000	-0.061	18.982	-0.53	-0.60	-9.38	-32.308	37.517	4.808	-0.99673	0.00494	0.00494	0.07974	29.1	10055.1.2	50
2023-11-3 14:17:22:617	WT901BLE67(34EC198DD516)	0.028	-0.011	1.000	0.000	-0.061	18.982	-0.53	-0.60	-9.38	-32.308	37.517	4.808	-0.99673	0.00494	0.00494	0.07974	29.1	10055.1.2	50
2023-11-3 14:17:22:635	WT901BLE67(34EC198DD516)	0.028	-0.011	1.000	0.000	-0.061	18.982	-0.53	-0.60	-9.38	-32.308	37.517	4.808	-0.99673	0.00494	0.00494	0.07974	29.1	10055.1.2	50
2023-11-3 14:17:22:635	WT901BLE67(34EC198DD516)	0.006	-0.011	1.000	0.000	-0.061	18.982	-0.53	-0.60	-9.38	-32.308	37.517	4.808	-0.99673	0.00494	0.00494	0.07974	29.1	10055.1.2	50
