时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 10:0:32:139	HC-06(00:0C:BF:0B:72:49)	0.000	0.000	1.000	0.183	-0.183	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:140	HC-06(00:0C:BF:0B:72:49)	0.000	-0.000	1.000	0.122	-0.183	0.000	-0.01	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:141	HC-06(00:0C:BF:0B:72:49)	0.000	0.000	1.000	0.122	-0.061	0.000	-0.01	0.00	152.90	37.4	18258	10
2024-10-13 10:0:32:141	HC-06(00:0C:BF:0B:72:49)	0.000	0.000	1.001	0.000	0.000	0.000	-0.01	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:143	HC-06(00:0C:BF:0B:72:49)	0.000	0.000	1.001	0.000	0.000	0.000	-0.01	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:143	HC-06(00:0C:BF:0B:72:49)	0.001	0.000	1.001	-0.061	0.061	0.000	-0.01	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:144	HC-06(00:0C:BF:0B:72:49)	0.000	0.001	1.000	-0.061	0.122	0.000	-0.01	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:145	HC-06(00:0C:BF:0B:72:49)	0.000	0.000	1.000	-0.122	0.183	0.000	-0.01	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:145	HC-06(00:0C:BF:0B:72:49)	0.000	-0.000	1.000	-0.122	0.244	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:146	HC-06(00:0C:BF:0B:72:49)	0.001	0.000	1.000	-0.183	0.244	0.000	-0.02	0.00	152.90	37.6	18258	10
2024-10-13 10:0:32:147	HC-06(00:0C:BF:0B:72:49)	0.001	0.000	1.000	-0.244	0.244	0.000	-0.02	0.00	152.90	37.6	18258	10
2024-10-13 10:0:32:148	HC-06(00:0C:BF:0B:72:49)	0.001	-0.001	1.000	-0.244	0.183	0.000	-0.02	0.00	152.90	37.4	18258	10
2024-10-13 10:0:32:149	HC-06(00:0C:BF:0B:72:49)	0.000	-0.000	1.000	-0.183	0.122	0.000	-0.02	0.01	152.90	37.5	18258	10
2024-10-13 10:0:32:149	HC-06(00:0C:BF:0B:72:49)	-0.000	-0.001	0.999	-0.122	0.122	0.000	-0.02	0.01	152.90	37.5	18258	10
2024-10-13 10:0:32:168	HC-06(00:0C:BF:0B:72:49)	0.000	0.000	0.999	-0.061	0.061	0.000	-0.02	0.01	152.90	37.4	18258	10
2024-10-13 10:0:32:173	HC-06(00:0C:BF:0B:72:49)	0.001	-0.000	0.998	0.000	0.000	0.000	-0.02	0.01	152.90	37.6	18258	10
2024-10-13 10:0:32:184	HC-06(00:0C:BF:0B:72:49)	-0.001	0.000	1.000	0.122	-0.122	0.000	-0.02	0.01	152.90	37.5	18258	10
2024-10-13 10:0:32:186	HC-06(00:0C:BF:0B:72:49)	-0.002	0.000	1.000	0.122	-0.122	0.000	-0.02	0.01	152.90	37.6	18258	10
2024-10-13 10:0:32:205	HC-06(00:0C:BF:0B:72:49)	0.000	0.001	1.001	0.061	-0.122	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:207	HC-06(00:0C:BF:0B:72:49)	0.000	0.000	1.000	0.122	-0.183	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:227	HC-06(00:0C:BF:0B:72:49)	0.000	0.000	0.999	0.061	-0.122	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:230	HC-06(00:0C:BF:0B:72:49)	0.001	0.000	0.998	-0.061	-0.061	0.000	-0.02	0.00	152.90	37.4	18258	10
2024-10-13 10:0:32:245	HC-06(00:0C:BF:0B:72:49)	0.001	0.000	1.000	-0.122	0.000	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:251	HC-06(00:0C:BF:0B:72:49)	0.001	0.001	0.999	-0.122	0.000	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:272	HC-06(00:0C:BF:0B:72:49)	0.000	0.000	0.999	-0.061	0.000	0.000	-0.02	0.00	152.90	37.4	18258	10
2024-10-13 10:0:32:286	HC-06(00:0C:BF:0B:72:49)	0.001	-0.001	0.999	-0.122	0.061	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:290	HC-06(00:0C:BF:0B:72:49)	-0.000	-0.001	0.999	-0.122	0.183	0.000	-0.02	0.00	152.90	37.6	18258	10
2024-10-13 10:0:32:294	HC-06(00:0C:BF:0B:72:49)	-0.001	-0.000	0.999	-0.122	0.122	0.000	-0.02	0.00	152.90	37.6	18258	10
2024-10-13 10:0:32:304	HC-06(00:0C:BF:0B:72:49)	-0.001	-0.000	1.000	-0.061	0.122	0.000	-0.03	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:310	HC-06(00:0C:BF:0B:72:49)	0.001	-0.003	1.001	0.000	0.000	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:324	HC-06(00:0C:BF:0B:72:49)	0.002	-0.003	1.000	0.000	0.000	0.000	-0.03	0.00	152.90	37.4	18258	10
2024-10-13 10:0:32:329	HC-06(00:0C:BF:0B:72:49)	0.001	-0.000	0.998	0.000	0.000	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:348	HC-06(00:0C:BF:0B:72:49)	0.000	0.000	0.999	0.061	0.000	0.000	-0.02	0.00	152.90	37.4	18258	10
2024-10-13 10:0:32:352	HC-06(00:0C:BF:0B:72:49)	0.002	-0.001	1.000	0.061	-0.061	0.000	-0.02	0.00	152.90	37.6	18258	10
2024-10-13 10:0:32:364	HC-06(00:0C:BF:0B:72:49)	0.001	-0.001	0.999	0.061	-0.122	0.000	-0.02	0.00	152.90	37.4	18258	10
2024-10-13 10:0:32:389	HC-06(00:0C:BF:0B:72:49)	0.000	-0.002	1.000	0.183	-0.061	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:391	HC-06(00:0C:BF:0B:72:49)	0.001	0.000	1.000	0.122	0.000	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:395	HC-06(00:0C:BF:0B:72:49)	0.000	0.001	1.000	0.000	-0.061	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:406	HC-06(00:0C:BF:0B:72:49)	0.000	0.001	1.000	0.000	0.000	0.000	-0.02	0.00	152.90	37.4	18258	10
2024-10-13 10:0:32:408	HC-06(00:0C:BF:0B:72:49)	-0.002	0.007	1.001	0.000	0.000	0.000	-0.02	0.00	152.90	37.4	18258	10
2024-10-13 10:0:32:427	HC-06(00:0C:BF:0B:72:49)	-0.000	0.005	1.004	0.000	0.000	0.000	-0.02	0.00	152.90	37.6	18258	10
2024-10-13 10:0:32:433	HC-06(00:0C:BF:0B:72:49)	0.000	0.003	1.004	0.000	0.061	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:446	HC-06(00:0C:BF:0B:72:49)	0.003	0.000	1.003	0.000	0.061	0.000	-0.02	0.00	152.90	37.5	18258	10
2024-10-13 10:0:32:451	HC-06(00:0C:BF:0B:72:49)	0.005	-0.000	1.000	-0.061	0.061	0.000	-0.02	0.00	152.90	37.5	18258	10
