时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:57:57:339	HC-06(556C659059FE)	0.000	0.002	0.998	0.061	0.000	0.000	0.30	0.58	-103.69	26.5	18258	100
2024-10-13 9:57:57:367	HC-06(556C659059FE)	0.002	0.002	0.999	0.061	0.000	0.000	0.30	0.57	-103.69	26.4	18258	100
2024-10-13 9:57:57:368	HC-06(556C659059FE)	0.000	0.002	0.999	0.000	0.000	0.000	0.29	0.57	-103.68	26.5	18258	100
2024-10-13 9:57:57:369	HC-06(556C659059FE)	0.000	0.001	0.999	0.061	0.000	0.000	0.29	0.57	-103.68	26.6	18258	100
2024-10-13 9:57:57:370	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.000	0.000	0.29	0.56	-103.68	26.5	18258	100
2024-10-13 9:57:57:397	HC-06(556C659059FE)	0.000	0.002	1.000	0.000	0.000	0.000	0.29	0.55	-103.67	26.6	18258	100
2024-10-13 9:57:57:398	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.000	0.000	0.29	0.55	-103.67	26.6	18258	100
2024-10-13 9:57:57:398	HC-06(556C659059FE)	0.000	0.001	0.998	0.000	0.000	0.000	0.29	0.55	-103.66	26.6	18258	100
2024-10-13 9:57:57:400	HC-06(556C659059FE)	0.000	0.002	0.999	0.000	0.000	0.000	0.29	0.55	-103.66	26.5	18258	100
2024-10-13 9:57:57:427	HC-06(556C659059FE)	0.000	0.000	1.000	0.000	0.000	0.000	0.29	0.54	-103.66	26.6	18258	100
2024-10-13 9:57:57:427	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.000	0.000	0.29	0.54	-103.65	26.7	18258	100
2024-10-13 9:57:57:428	HC-06(556C659059FE)	0.000	0.002	1.000	0.061	0.000	0.000	0.29	0.54	-103.65	26.5	18258	100
2024-10-13 9:57:57:428	HC-06(556C659059FE)	0.000	0.000	0.999	0.061	0.061	0.000	0.29	0.53	-103.64	26.5	18258	100
2024-10-13 9:57:57:487	HC-06(556C659059FE)	0.000	0.002	1.000	0.061	0.000	0.000	0.29	0.53	-103.64	26.6	18258	100
2024-10-13 9:57:57:488	HC-06(556C659059FE)	0.000	0.000	0.999	0.061	-0.061	0.000	0.28	0.53	-103.63	26.5	18258	100
2024-10-13 9:57:57:519	HC-06(556C659059FE)	0.000	0.000	0.999	0.061	0.000	0.000	0.28	0.52	-103.63	26.7	18258	100
2024-10-13 9:57:57:520	HC-06(556C659059FE)	0.000	0.001	0.999	0.061	0.000	0.000	0.28	0.52	-103.63	26.4	18258	100
