时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:59:20:717	HC-06(556C659059FE)	0.124	-0.077	0.946	-3.357	1.099	-7.080	-4.25	-6.38	-107.32	27.3	18258	100
2024-10-13 9:59:20:717	HC-06(556C659059FE)	0.126	-0.083	0.952	-4.395	0.732	-6.653	-4.28	-6.38	-107.39	27.0	18258	100
2024-10-13 9:59:20:717	HC-06(556C659059FE)	0.118	-0.087	0.965	-5.371	0.916	-6.104	-4.33	-6.38	-107.45	27.4	18258	100
2024-10-13 9:59:20:742	HC-06(556C659059FE)	0.121	-0.095	0.983	-6.348	1.099	-5.432	-4.38	-6.37	-107.51	27.1	18258	100
2024-10-13 9:59:20:743	HC-06(556C659059FE)	0.128	-0.104	0.994	-6.165	0.427	-5.188	-4.44	-6.37	-107.56	27.3	18258	100
2024-10-13 9:59:20:743	HC-06(556C659059FE)	0.126	-0.108	1.001	-5.310	0.977	-5.005	-4.49	-6.37	-107.61	27.1	18258	100
2024-10-13 9:59:20:744	HC-06(556C659059FE)	0.120	-0.111	1.006	-4.761	1.709	-4.761	-4.54	-6.36	-107.66	27.2	18258	100
2024-10-13 9:59:20:766	HC-06(556C659059FE)	0.119	-0.117	1.007	-3.784	1.404	-4.456	-4.58	-6.36	-107.71	27.1	18258	100
2024-10-13 9:59:20:784	HC-06(556C659059FE)	0.119	-0.118	1.001	-1.770	0.000	-4.150	-4.60	-6.36	-107.75	27.0	18258	100
2024-10-13 9:59:20:785	HC-06(556C659059FE)	0.125	-0.110	1.000	-1.282	-0.366	-3.845	-4.61	-6.37	-107.79	27.4	18258	100
2024-10-13 9:59:20:786	HC-06(556C659059FE)	0.125	-0.108	0.995	-2.441	-0.244	-3.296	-4.64	-6.37	-107.83	27.2	18258	100
2024-10-13 9:59:20:787	HC-06(556C659059FE)	0.112	-0.111	0.991	-2.380	1.099	-2.197	-4.66	-6.37	-107.85	27.0	18258	100
2024-10-13 9:59:20:820	HC-06(556C659059FE)	0.117	-0.113	0.984	-1.221	0.732	-1.404	-4.69	-6.37	-107.87	27.2	18258	100
2024-10-13 9:59:20:820	HC-06(556C659059FE)	0.125	-0.107	0.979	-0.244	-0.122	-0.793	-4.70	-6.37	-107.87	27.2	18258	100
2024-10-13 9:59:20:821	HC-06(556C659059FE)	0.125	-0.102	0.973	-0.671	-0.061	-0.427	-4.71	-6.37	-107.88	27.2	18258	100
2024-10-13 9:59:20:859	HC-06(556C659059FE)	0.122	-0.102	0.970	-1.343	0.305	0.061	-4.72	-6.37	-107.88	27.2	18258	100
2024-10-13 9:59:20:860	HC-06(556C659059FE)	0.125	-0.104	0.968	-0.916	-0.183	0.671	-4.74	-6.38	-107.87	27.1	18258	100
2024-10-13 9:59:20:889	HC-06(556C659059FE)	0.138	-0.099	0.972	-1.038	-1.892	1.343	-4.76	-6.39	-107.86	27.2	18258	100
2024-10-13 9:59:20:889	HC-06(556C659059FE)	0.146	-0.098	0.982	-2.197	-2.869	2.014	-4.78	-6.42	-107.84	27.3	18258	100
2024-10-13 9:59:20:938	HC-06(556C659059FE)	0.152	-0.104	0.991	-2.563	-3.113	2.686	-4.82	-6.45	-107.81	27.2	18258	100
2024-10-13 9:59:20:939	HC-06(556C659059FE)	0.156	-0.106	1.000	-1.587	-3.357	2.991	-4.85	-6.49	-107.78	27.2	18258	100
2024-10-13 9:59:20:939	HC-06(556C659059FE)	0.162	-0.102	1.007	-1.160	-3.296	3.174	-4.87	-6.53	-107.75	27.3	18258	100
2024-10-13 9:59:20:940	HC-06(556C659059FE)	0.159	-0.099	1.008	-0.549	-2.075	3.296	-4.89	-6.55	-107.72	27.2	18258	100
2024-10-13 9:59:20:965	HC-06(556C659059FE)	0.155	-0.095	1.007	0.732	-0.793	3.113	-4.89	-6.57	-107.68	27.1	18258	100
2024-10-13 9:59:20:967	HC-06(556C659059FE)	0.149	-0.086	1.000	1.831	-0.427	2.625	-4.88	-6.58	-107.65	27.1	18258	100
2024-10-13 9:59:20:967	HC-06(556C659059FE)	0.138	-0.078	0.993	1.953	-0.793	2.136	-4.87	-6.59	-107.63	27.1	18258	100
2024-10-13 9:59:20:969	HC-06(556C659059FE)	0.138	-0.074	0.987	1.892	-1.831	2.014	-4.86	-6.61	-107.61	27.1	18258	100
2024-10-13 9:59:20:982	HC-06(556C659059FE)	0.143	-0.073	0.979	2.319	-3.174	1.953	-4.84	-6.65	-107.58	27.1	18258	100
2024-10-13 9:59:20:983	HC-06(556C659059FE)	0.148	-0.065	0.973	2.502	-4.028	1.892	-4.82	-6.69	-107.56	27.1	18258	100
2024-10-13 9:59:20:984	HC-06(556C659059FE)	0.151	-0.061	0.971	1.038	-3.601	1.709	-4.81	-6.74	-107.54	27.3	18258	100
2024-10-13 9:59:20:989	HC-06(556C659059FE)	0.145	-0.063	0.978	-0.305	-2.502	1.587	-4.82	-6.77	-107.52	27.3	18258	100
2024-10-13 9:59:20:989	HC-06(556C659059FE)	0.143	-0.067	0.985	-0.732	-1.526	1.343	-4.82	-6.80	-107.51	27.3	18258	100
2024-10-13 9:59:21:48	HC-06(556C659059FE)	0.137	-0.068	0.997	-0.732	-1.404	0.732	-4.83	-6.82	-107.50	27.2	18258	100
2024-10-13 9:59:21:49	HC-06(556C659059FE)	0.134	-0.074	1.008	-0.610	-1.892	0.427	-4.84	-6.84	-107.49	27.1	18258	100
2024-10-13 9:59:21:50	HC-06(556C659059FE)	0.134	-0.078	1.013	0.366	-2.563	0.000	-4.84	-6.87	-107.49	27.2	18258	100
2024-10-13 9:59:21:51	HC-06(556C659059FE)	0.136	-0.076	1.019	1.648	-2.686	-0.305	-4.82	-6.90	-107.49	27.3	18258	100
2024-10-13 9:59:21:51	HC-06(556C659059FE)	0.141	-0.071	1.018	1.770	-2.563	-0.732	-4.81	-6.94	-107.49	27.1	18258	100
2024-10-13 9:59:21:145	HC-06(556C659059FE)	0.131	-0.071	1.020	1.343	-1.038	-0.854	-4.79	-6.96	-107.50	27.1	18258	100
2024-10-13 9:59:21:146	HC-06(556C659059FE)	0.125	-0.074	1.018	1.831	0.000	-0.916	-4.77	-6.97	-107.51	27.2	18258	100
2024-10-13 9:59:21:146	HC-06(556C659059FE)	0.127	-0.076	1.013	3.174	-0.183	-1.099	-4.74	-6.98	-107.52	27.1	18258	100
2024-10-13 9:59:21:147	HC-06(556C659059FE)	0.124	-0.072	1.004	3.418	0.000	-1.282	-4.70	-6.98	-107.53	27.4	18258	100
2024-10-13 9:59:21:148	HC-06(556C659059FE)	0.123	-0.071	0.995	3.052	0.427	-1.160	-4.66	-6.99	-107.55	27.3	18258	100
2024-10-13 9:59:21:149	HC-06(556C659059FE)	0.125	-0.074	0.987	2.625	0.610	-1.099	-4.64	-6.98	-107.56	27.4	18258	100
2024-10-13 9:59:21:219	HC-06(556C659059FE)	0.128	-0.075	0.982	2.686	0.488	-1.038	-4.60	-6.98	-107.57	27.2	18258	100
2024-10-13 9:59:21:219	HC-06(556C659059FE)	0.132	-0.078	0.984	2.441	0.000	-1.404	-4.58	-6.99	-107.58	27.2	18258	100
2024-10-13 9:59:21:220	HC-06(556C659059FE)	0.130	-0.082	0.982	2.869	-0.488	-1.770	-4.55	-6.99	-107.59	27.3	18258	100
2024-10-13 9:59:21:220	HC-06(556C659059FE)	0.129	-0.083	0.980	3.601	-0.244	-1.404	-4.51	-7.00	-107.61	27.1	18258	100
2024-10-13 9:59:21:220	HC-06(556C659059FE)	0.137	-0.080	0.981	3.296	-0.488	-0.977	-4.48	-7.01	-107.62	27.2	18258	100
2024-10-13 9:59:21:220	HC-06(556C659059FE)	0.139	-0.079	0.981	1.892	-0.488	-0.610	-4.45	-7.02	-107.63	27.3	18258	100
2024-10-13 9:59:21:221	HC-06(556C659059FE)	0.134	-0.083	0.984	0.977	-0.122	-0.244	-4.44	-7.03	-107.63	27.3	18258	100
2024-10-13 9:59:21:221	HC-06(556C659059FE)	0.136	-0.086	0.991	1.038	-0.549	-0.244	-4.43	-7.03	-107.63	27.2	18258	100
2024-10-13 9:59:21:262	HC-06(556C659059FE)	0.137	-0.088	0.994	1.404	-1.404	-0.427	-4.42	-7.05	-107.63	27.2	18258	100
2024-10-13 9:59:21:263	HC-06(556C659059FE)	0.138	-0.087	0.994	2.136	-1.526	-0.244	-4.40	-7.07	-107.64	27.1	18258	100
2024-10-13 9:59:21:263	HC-06(556C659059FE)	0.139	-0.084	0.991	2.563	-1.465	-0.610	-4.37	-7.09	-107.64	27.2	18258	100
2024-10-13 9:59:21:264	HC-06(556C659059FE)	0.139	-0.081	0.990	2.319	-0.916	-0.977	-4.35	-7.10	-107.65	27.2	18258	100
2024-10-13 9:59:21:304	HC-06(556C659059FE)	0.136	-0.080	0.987	1.831	-0.061	-1.343	-4.33	-7.11	-107.66	27.4	18258	100
2024-10-13 9:59:21:305	HC-06(556C659059FE)	0.128	-0.077	0.987	1.282	1.343	-1.343	-4.32	-7.11	-107.67	27.3	18258	100
2024-10-13 9:59:21:306	HC-06(556C659059FE)	0.124	-0.077	0.986	0.549	1.526	-1.282	-4.31	-7.10	-107.69	27.2	18258	100
2024-10-13 9:59:21:307	HC-06(556C659059FE)	0.125	-0.081	0.989	0.671	0.854	-1.282	-4.31	-7.09	-107.70	27.1	18258	100
2024-10-13 9:59:21:325	HC-06(556C659059FE)	0.119	-0.080	0.986	1.160	0.610	-1.038	-4.30	-7.09	-107.72	27.1	18258	100
2024-10-13 9:59:21:407	HC-06(556C659059FE)	0.116	-0.077	0.985	1.343	0.244	-0.916	-4.28	-7.09	-107.72	27.2	18258	100
2024-10-13 9:59:21:408	HC-06(556C659059FE)	0.117	-0.075	0.984	1.038	-0.061	-0.977	-4.27	-7.09	-107.73	27.2	18258	100
2024-10-13 9:59:21:409	HC-06(556C659059FE)	0.112	-0.075	0.984	0.305	0.122	-0.793	-4.27	-7.09	-107.74	27.4	18258	100
2024-10-13 9:59:21:409	HC-06(556C659059FE)	0.108	-0.080	0.982	0.610	0.305	-0.549	-4.27	-7.09	-107.75	27.3	18258	100
