时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:17:12:866	HC-06(00:0C:BF:08:48:06)	0.011	-0.000	0.998	0.000	0.061	16.113	-0.48	-0.73	-156.16	33.2	18258	10
2024-10-9 17:17:12:868	HC-06(00:0C:BF:08:48:06)	0.009	-0.001	1.002	-0.183	-0.122	16.663	-0.48	-0.73	-155.99	33.2	18258	10
2024-10-9 17:17:12:884	HC-06(00:0C:BF:08:48:06)	-0.032	0.008	1.001	0.000	0.000	16.602	-0.48	-0.72	-155.82	33.1	18258	10
2024-10-9 17:17:12:887	HC-06(00:0C:BF:08:48:06)	0.014	-0.001	1.003	0.061	1.099	17.334	-0.48	-0.71	-155.65	33.2	18258	10
2024-10-9 17:17:12:906	HC-06(00:0C:BF:08:48:06)	0.056	-0.028	0.993	-0.488	0.488	18.494	-0.48	-0.71	-155.47	33.1	18258	10
2024-10-9 17:17:12:909	HC-06(00:0C:BF:08:48:06)	0.027	-0.044	0.992	-0.793	-0.488	20.081	-0.49	-0.71	-155.28	33.2	18258	10
2024-10-9 17:17:12:927	HC-06(00:0C:BF:08:48:06)	0.019	-0.016	0.982	0.183	-0.061	22.217	-0.49	-0.70	-155.06	33.2	18258	10
2024-10-9 17:17:12:928	HC-06(00:0C:BF:08:48:06)	-0.056	0.023	1.016	0.244	-0.488	22.644	-0.49	-0.71	-154.83	33.1	18258	10
2024-10-9 17:17:12:945	HC-06(00:0C:BF:08:48:06)	0.009	0.052	1.013	-0.977	-0.549	18.799	-0.49	-0.70	-154.63	33.1	18258	10
2024-10-9 17:17:12:949	HC-06(00:0C:BF:08:48:06)	0.030	0.006	1.002	0.244	0.977	15.686	-0.49	-0.70	-154.47	33.1	18258	10
2024-10-9 17:17:12:967	HC-06(00:0C:BF:08:48:06)	0.018	-0.010	0.993	-0.671	-0.671	15.991	-0.50	-0.70	-154.31	33.4	18258	10
2024-10-9 17:17:12:969	HC-06(00:0C:BF:08:48:06)	0.002	-0.017	0.995	0.000	0.122	17.822	-0.49	-0.70	-154.14	33.3	18258	10
2024-10-9 17:17:12:987	HC-06(00:0C:BF:08:48:06)	0.010	-0.007	0.998	-0.061	0.000	18.311	-0.49	-0.70	-153.96	33.3	18258	10
2024-10-9 17:17:12:988	HC-06(00:0C:BF:08:48:06)	0.007	0.012	0.994	-0.305	-0.122	17.761	-0.50	-0.70	-153.78	33.2	18258	10
2024-10-9 17:17:13:4	HC-06(00:0C:BF:08:48:06)	0.022	0.011	1.000	-0.244	-0.061	16.846	-0.50	-0.70	-153.61	33.2	18258	10
2024-10-9 17:17:13:7	HC-06(00:0C:BF:08:48:06)	-0.001	0.009	0.995	-0.427	-0.488	16.785	-0.50	-0.70	-153.44	33.4	18258	10
2024-10-9 17:17:13:25	HC-06(00:0C:BF:08:48:06)	0.021	-0.002	0.999	-0.061	0.000	16.418	-0.50	-0.70	-153.28	33.2	18258	10
2024-10-9 17:17:13:28	HC-06(00:0C:BF:08:48:06)	0.013	-0.015	1.002	-0.488	-0.488	17.029	-0.51	-0.70	-153.11	33.2	18258	10
2024-10-9 17:17:13:48	HC-06(00:0C:BF:08:48:06)	0.005	0.008	0.997	0.000	-0.244	17.212	-0.50	-0.70	-152.94	33.2	18258	10
2024-10-9 17:17:13:50	HC-06(00:0C:BF:08:48:06)	-0.003	0.022	0.999	-0.061	-0.183	16.846	-0.50	-0.70	-152.76	33.2	18258	10
2024-10-9 17:17:13:65	HC-06(00:0C:BF:08:48:06)	0.007	0.002	0.999	0.000	0.000	16.174	-0.50	-0.70	-152.60	33.2	18258	10
2024-10-9 17:17:13:68	HC-06(00:0C:BF:08:48:06)	0.019	-0.021	0.998	-0.671	-0.549	17.273	-0.51	-0.70	-152.43	33.2	18258	10
2024-10-9 17:17:13:84	HC-06(00:0C:BF:08:48:06)	0.013	-0.005	0.997	0.061	0.122	18.005	-0.51	-0.70	-152.25	33.2	18258	10
2024-10-9 17:17:13:85	HC-06(00:0C:BF:08:48:06)	0.001	0.013	0.995	-0.061	0.183	17.578	-0.51	-0.69	-152.07	33.2	18258	10
2024-10-9 17:17:13:104	HC-06(00:0C:BF:08:48:06)	0.007	0.000	1.001	-0.305	-0.183	16.907	-0.51	-0.69	-151.90	33.3	18258	10
2024-10-9 17:17:13:123	HC-06(00:0C:BF:08:48:06)	0.011	-0.006	1.000	-0.305	-0.183	16.968	-0.51	-0.69	-151.73	33.2	18258	10
2024-10-9 17:17:13:126	HC-06(00:0C:BF:08:48:06)	0.008	0.007	0.991	0.122	-0.061	17.090	-0.51	-0.69	-151.56	33.2	18258	10
