时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:8:53:8	HC-06(556C659059FE)	-0.025	0.001	0.999	-0.061	0.305	17.212	-0.21	0.03	18.59	33.7	18258	30
2024-10-9 17:8:53:39	HC-06(556C659059FE)	0.028	-0.003	1.000	-0.427	0.183	16.724	-0.21	0.03	18.78	33.6	18258	30
2024-10-9 17:8:53:39	HC-06(556C659059FE)	0.007	0.001	1.000	0.061	0.305	18.127	-0.21	0.04	18.96	33.6	18258	30
2024-10-9 17:8:53:40	HC-06(556C659059FE)	0.010	-0.001	1.000	0.183	0.427	19.470	-0.21	0.04	19.17	33.6	18258	30
2024-10-9 17:8:53:40	HC-06(556C659059FE)	0.002	-0.001	1.002	0.244	0.183	19.775	-0.21	0.04	19.37	33.6	18258	30
2024-10-9 17:8:53:67	HC-06(556C659059FE)	-0.005	0.003	1.001	-0.183	0.305	20.874	-0.21	0.04	19.59	33.6	18258	30
2024-10-9 17:8:53:68	HC-06(556C659059FE)	-0.019	-0.002	1.005	0.061	0.122	20.813	-0.21	0.05	19.81	33.5	18258	30
2024-10-9 17:8:53:70	HC-06(556C659059FE)	-0.022	0.013	1.002	0.183	0.183	20.386	-0.21	0.05	20.03	33.5	18258	30
2024-10-9 17:8:53:97	HC-06(556C659059FE)	-0.013	0.002	0.997	0.244	0.183	18.250	-0.21	0.05	20.23	33.6	18258	30
2024-10-9 17:8:53:98	HC-06(556C659059FE)	0.006	0.003	0.996	-0.244	0.244	17.517	-0.21	0.06	20.42	33.7	18258	30
2024-10-9 17:8:53:101	HC-06(556C659059FE)	-0.011	0.000	0.998	0.610	0.244	18.066	-0.21	0.06	20.61	33.6	18258	30
2024-10-9 17:8:53:127	HC-06(556C659059FE)	-0.002	-0.002	1.006	0.549	0.122	18.005	-0.21	0.07	20.80	33.5	18258	30
2024-10-9 17:8:53:128	HC-06(556C659059FE)	-0.011	-0.007	0.997	-0.366	0.183	17.395	-0.22	0.07	20.99	33.5	18258	30
2024-10-9 17:8:53:129	HC-06(556C659059FE)	-0.007	-0.007	1.000	-0.671	0.122	16.724	-0.22	0.07	21.17	33.5	18258	30
2024-10-9 17:8:53:158	HC-06(556C659059FE)	-0.003	0.014	1.003	0.427	0.305	16.846	-0.21	0.08	21.35	33.5	18258	30
2024-10-9 17:8:53:158	HC-06(556C659059FE)	-0.010	-0.006	0.998	0.122	0.061	16.602	-0.22	0.08	21.53	33.5	18258	30
2024-10-9 17:8:53:188	HC-06(556C659059FE)	-0.016	0.003	1.005	0.366	0.244	16.052	-0.21	0.08	21.70	33.5	18258	30
2024-10-9 17:8:53:189	HC-06(556C659059FE)	0.009	0.000	1.000	-0.183	0.183	16.357	-0.21	0.09	21.87	33.6	18258	30
2024-10-9 17:8:53:190	HC-06(556C659059FE)	0.006	-0.007	0.995	0.488	0.305	16.235	-0.21	0.09	22.04	33.5	18258	30
2024-10-9 17:8:53:190	HC-06(556C659059FE)	0.008	-0.002	0.995	0.244	0.122	17.639	-0.22	0.10	22.23	33.5	18258	30
2024-10-9 17:8:53:215	HC-06(556C659059FE)	-0.021	-0.000	0.996	-0.061	0.183	17.944	-0.22	0.10	22.42	33.7	18258	30
2024-10-9 17:8:53:217	HC-06(556C659059FE)	0.010	-0.003	0.998	-0.305	0.000	17.212	-0.22	0.10	22.60	33.6	18258	30
2024-10-9 17:8:53:246	HC-06(556C659059FE)	0.032	0.011	1.007	0.793	0.305	17.700	-0.21	0.10	22.79	33.6	18258	30
2024-10-9 17:8:53:247	HC-06(556C659059FE)	-0.025	-0.005	0.991	-0.061	0.183	20.569	-0.22	0.10	23.00	33.6	18258	30
2024-10-9 17:8:53:249	HC-06(556C659059FE)	-0.019	-0.001	1.002	-0.183	0.427	20.996	-0.23	0.12	23.22	33.5	18258	30
2024-10-9 17:8:53:249	HC-06(556C659059FE)	-0.000	-0.011	0.993	-0.061	0.488	18.494	-0.23	0.12	23.42	33.6	18258	30
2024-10-9 17:8:53:276	HC-06(556C659059FE)	0.017	0.005	0.999	0.671	0.305	17.761	-0.22	0.12	23.61	33.5	18258	30
2024-10-9 17:8:53:279	HC-06(556C659059FE)	-0.013	-0.003	1.000	0.244	0.244	19.043	-0.23	0.13	23.81	33.5	18258	30
2024-10-9 17:8:53:280	HC-06(556C659059FE)	-0.020	-0.001	0.997	0.000	0.061	18.860	-0.23	0.13	24.01	33.6	18258	30
2024-10-9 17:8:53:307	HC-06(556C659059FE)	0.001	-0.000	1.004	-0.366	-0.061	18.250	-0.23	0.13	24.20	33.6	18258	30
2024-10-9 17:8:53:308	HC-06(556C659059FE)	-0.005	-0.006	0.996	0.122	0.183	17.456	-0.22	0.13	24.39	33.5	18258	30
2024-10-9 17:8:53:308	HC-06(556C659059FE)	-0.012	0.005	1.001	0.305	0.183	17.822	-0.22	0.14	24.58	33.6	18258	30
2024-10-9 17:8:53:339	HC-06(556C659059FE)	-0.013	0.000	0.999	0.122	0.000	17.090	-0.23	0.14	24.76	33.5	18258	30
